,news_id,text_no_stopwords,label
0,102874,reuters parcel service ups reported higher net profit driven package volumes segment higher costs delivery nasty weather weighed bottom line file photo parcel service ups truck delivery pictured downtown reuters file photo shares percent morning trade world largest package delivery company revenue increased percent ago topping analyst expectations revenue package service percent ago driven percent rise parcel volumes reflected growth online purchases severe weather dragged operating profit higher expenses network improvements higher pension costs big expansion delivery operating profit domestic segment plummeted percent percent higher costs continue pressure earnings analyst helane research note general company struggles capacity issues leading issues achieving eps target performance improves ups indicator economic strength consumer demand reaffirmed earnings share maintained spending plan network improvements technology automating parcel sorting hubs chief executive promised deliver higher margins pumping billions dollars network upgrades expansions handle growth commerce investors bristle costs rapid rise online shopping boon shipping demand ups struggled bring extra costs delivering households average receive fewer packages time businesses revenue parcel delivered percent higher prices fuel surcharges offset higher costs company analysts conference asked amazon amzn efforts expand delivery capacity volume traditionally handled ups rival fedex corp fdx hard predict amazon shippers adding ups evaluate market moves react ups appears seeking ways shave costs offered retirement payouts management employees declined employees expects leave ups making progress wage matters protracted negotiations teamsters union contract ending ups posted net income share share earlier percent rise share basis analysts expected earnings share reporting editing zieminski,1.0
1,63428,sherwin company nyse shw issue press release announcing financial results ended opening market time copy press release information sherwin financial condition operating segment results information clicking sherwin press releases clicking reference release company conduct conference discuss financial results full outlook full est participating sherwin chairman president chief executive officer morikis senior executives conference webcast simultaneously listen mode issuer direct listen webcast sherwin website investors sherwin press webcast icon reference release webcast issuer direct investor calendar website investorcalendar archived replay webcast investors sherwin press beginning approximately hours ends est investor relations contact senior president corporate communications public affairs sherwin direct rjwells sherwin media contact director corporate communications sherwin direct pager sherwin view original content multimedia news releases sherwin announce end financial results html source sherwin company,0.0
2,67414,general electric spinoff public offering ge transportation business journal reported citing people familiar strategic review company journal reported company exploring hybrid deals public companies transportation unit combine assets leave ge shareholders stakes multiple public companies ongoing restructuring ceo includes plans company assets veritas capital plans acquire ge healthcare unit deals announced total ge transportation makes diesel freight locomotives model parts business spun public sold people familiar strategy pointed past examples oil services company majority owned ge combined firms idea eventually separate companies possibilities spinoffs moving forward transportation unit bank hit declining demand locomotives ge worst performing time ge shares trading compared pressure ge announce sort break analyst melius research wrote note clients sponsored financial content,1.0
3,113982,ap motorists paying cents gallon trouble understanding exxon profit higher oil prices drove exxon profit percent oil giant falling production results exxon mobil corp reported slightly expectations shares slid opening oil prices rising demand opec led campaign limit production crude barrel prices international oil levels late pushed gasoline nationwide average gallon ago auto club aaa eating corporate profit fuel dependent companies airlines leading ceo airlines predict travelers paying higher fares exxon company oil gas production turned profit compared loss ago rigs busy permian basin bakken shale exxon makes pumping oil gas world earnings international production business jumped company share earnings analysts forecasts survey factset expectations analysts polled zacks investment research revenue percent easily beat projections ceo credited higher oil natural gas prices operating efficiencies company portfolio exxon strengthened push offshore guyana doubled estimate gas papua guinea time sold stake australian gas company capital expenditures increase percent ago investors pushed exxon oil companies watch capital spending closely overspent time oil prices caught guard collapse began mid exxon shares percent trading portions generated automated insights automatedinsights ap data zacks investment research access zacks report xom zacks ap xom,1.0
4,121971,intel tumbles make chips semiconductors manufactured intel company displayed games chesnot getty images pm edt bad chipmakers worse semiconductor shares index plunged percent report plans start chips processors made intel corp members group lost percent intel percent biggest rout group percent bloomberg news report renewed tumble technology shares led broader market measures worst selloff chipmakers set record ago lost percent amid exodus popular semiconductors exchange traded fund part tech unwind exacerbated move eliminating parts food chain favor lukeman etf market making americas credit ag investors pulled half dollars record vaneck vectors semiconductors fund fund ticker smh attracted record inflows earlier intel pushed group deeper signs trouble group rallied percent nvidia corp etf largest holding percent percent tripled doubled micron technology sector heavyweight lost percent gave disappointing forecast dizzying revenue growth fueled rally sponsored financial content,-1.0
5,2187,show chapters surprising group making comeback bet pm mon discount bin investors beginning retail space buy technician charts show upside potential ahead retail hasn looked ari wald technical analysis oppenheimer cnbc trading looked poorly recent ve easy comp base couple underperformance shown falling line starting trend stabilize turn sideways wald continued moving average great proxy trend start slope sideways starting base retail xrt etf moving average relative downward trend began flatten twist higher absolute basis etf spiked moving average level group positioned rally leadership role textile apparel group wald wald sees taking leadership role space nike important test dating late explained wald pause ahead breakout consolidation occurring rising trend rising moving average add pre breakout potential shares nike nike bumped level sits percent trades percent rising moving average chief economist group sees gains ahead retail space benefits shifts investor sentiment risk adjusted basis looked pretty industry group trading sector rotation older beat opposed tech names pretty retail xrt etf risen percent half gains hot xlk technology etf passed favor defensive names xrt gains retail prove lived economic times tax cuts relative animal spirits popped recently won run late expect sector weak macro economy disappoints earnings xrt etf healthy growth analysts surveyed factset analysts expect average percent rise profit fiscal slow percent growth percent vote vote results total votes scientific survey results total due rounding disclaimer,1.0
6,104871,reuters jnj suffered trial loss lawsuit claiming talc based products including baby powder cancer causing asbestos jury ordering company pay damages file photo building shown reuters file photo verdict liability middlesex superior court brunswick fights thousands cases claiming talc products ovarian cancer jury found company liable trial lawsuit brought resident lanzo developed mesothelioma inhaling dust generated regular talc powder products birth mesothelioma deadly form cancer closely exposure asbestos affects delicate tissue lines body cavities lungs abdomen jury awarded lanzo wife compensatory damages found responsible percent damages unit based imerys sa imtp talc supplier responsible percent jury return proceedings determine award punitive damages online broadcast trial courtroom view network denied allegations baby powder asbestos cancer statement disappointed withhold comment trial completion imerys spokeswoman imerys plans appeal confident talc lanzo cancer lanzos respond requests comment based brunswick faces talc related lawsuits plaintiffs nationally largely based claims failed warn women risk developing ovarian cancer products feminine hygiene trials involving ovarian cancer lawsuits juries found liable times awarded plaintiffs total jury awarded deceased woman appellate court threw verdict tossed verdict seeking reverse verdicts asbestos claims recent challenge won asbestos related trial superior court jury ruled favor corrects headline show rsquo trial loss asbestos related involving talc loss talc cancer lawsuit corrects paragraph company ordered pay mln reporting nate editing,-1.0
7,178860,hours ago tech expensive decade brutal billions wiped sector investing sector trader recent weakness growth occur tech sector streible senior markets strategist rjo futures told cnbc trading continue outperform broad market strategies employ investor worried couple days stretch streible play weakness scatter protective puts broader market losses tech expose weakness total market protections protect downside streible worst tech continues rally puts worthless outperformers market tech tumbled privacy concerns led regulatory scrutiny facebook social media platform embroiled scandal data analysis firm analytica harvested facebook user information employ president trump presidential campaign facebook shares tumbled percent track worst performance market territory fallen percent set fall percent indicative market seaburg trading facebook wake scandal company faces trust issue time fully play earnings impact material impact wheels fall truck seaburg told trading sentiment shifted completely cautious tech sector seaburg expressing caution valuations xlk technology etf trades times forward earnings times multiple names higher alphabet trades times forward earnings adobe times sort taking wait approach seaburg profit taking tech industrial names financials tech continues pullback seaburg sector names buying salesforce micron technology amazon weakness xlk etf track losses percent worst market offs information technology sector remains percent making top performer,-1.0
8,292185,updated minutes ago samsung firms samsung electronics maintain compliance ju reuters samsung group insurance firms conglomerate biggest earner samsung electronics ks maintain regulatory compliance file photo logo samsung electronics office building reuters file photo samsung life insurance ks samsung fire insurance ks separately electronics affiliate current policy cancelling shares raise investors holdings risks pushing holdings regulatory limits samsung electronics percent local media reported plans investors feared sudden increased supply push analysts related coverage announcements time regulators questioning conglomerates shareholding arrangements web ownership structures undermine corporate governance allowing founding families control business empires direct minority stakes units file photo leaves samsung life office building reuters won conglomerates financial arms required limit combined stake financial affiliate percent samsung life owns percent samsung electronics market won single transaction market opens reducing stake percent samsung fire conduct won reducing stake percent percent won won represents discount percent samsung elec traded term sheet ifr samsung life reduce holding parliament push proposal limit insurer investment affiliate percent insurer total assets promote stable asset management ownership powerful conglomerates increased scrutiny series scandals involving members conglomerates founding families chairman financial services commission recently samsung group affiliates ways reduce risk assets concentrated including selling samsung life stake samsung electronics chief trade commission called group ownership structure unsustainable samsung sdi ks sold shares affiliate samsung corp ks reduce shareholding secure funds investment version refiles paragraph reporting ju additional reporting anuradha subramanyan ifr editing,-1.0
9,277764,spire nyse sr announced today priced public offering shares common share spire granted underwriters option purchase additional shares common proceeds offering expected option purchase additional shares exercised full offering expected subject customary closing conditions offering intended support investments ongoing infrastructure upgrades spire stl pipeline recently acquired storage assets end intend net proceeds offering repay term borrowings fund investments general corporate purposes fargo securities credit rbc capital markets acting joint bookrunners offering stifel managers copies preliminary prospectus supplement accompanying prospectus offering obtained fargo securities llc avenue ny attention equity syndicate department cmclientsupport wellsfargo credit securities llc avenue ny attention credit prospectus department newyork prospectus credit rbc capital markets llc vesey floor ny attention equity syndicate equityprospectus rbccm news release constitute offer solicitation offer buy securities securities jurisdiction offer solicitation unlawful registration qualification securities jurisdiction spire spire nyse sr energy exists make people lives simple idea heart company serve homes businesses making largest publicly traded natural gas company families business owners fuel lives gas utilities serving utility operations include spire marketing natural gas marketing related services committed transforming business pursuing growth growing organically investing infrastructure acquiring integrating innovation technology forward cautionary statements news release meaning section securities exchange act future operating results affected uncertainties risk factors control including weather conditions economic factors competitive environment governmental regulatory policy action risks acquisitions complete description uncertainties risk factors preliminary prospectus supplement accompanying prospectus offering including report form fiscal ended reports form quarters ended incorporated reference filed securities exchange commission investor contact jr spireenergy media contact spireenergy view original content news releases spire prices public offering common html source spire,1.0
10,150576,gdp outlook holds constructive talks trade president trump top economic aides constructive talks president jinping top economic adviser official discussed ways ensure reciprocal trade published hours ago reuters getty images president trump meeting leaders industry dc president trump top economic aides constructive talks president jinping top economic adviser trade economic relations official underscored importance achieving balance reciprocity economic relationship official meeting treasury secretary mnuchin economic adviser trade representative lighthizer discussed ways ensure reciprocal trade,1.0
11,116743,comments nasa administrator bridenstine juggling starkly visions government versus commercial endeavors explore agency sparked criticism planetary scientists recent days canceling advanced publicly financed plan robotic dubbed resource prospector intended search water ice lunar letter disgruntled researchers nasa sponsored panel action viewed incredulity dismay community scientists working project experienced repeated cost estimate increases argue replacing industry nasa partnership disrupt research delay mission schedules citing budget constraints decision nasa simultaneously stepping efforts solicit proposals private enterprise build operate alternate spacecraft similar missions roughly decade follow projects designed build progress nasa tensions traditional big ticket nasa programs surge government industry partnerships projected expensive nimble hallmarks mr bridenstine tenure federal industry experts republican congressman narrowly won confirmation trump administration staked commitment rely entrepreneurs commercial space companies spearhead efforts return team nasa searching effective ways meet goal agency issued draft request proposals covering end end commercial payload services earth utilizing private launch vehicles entry vehicles document things move latest step running effort nasa support development commercial lunar capabilities underscore point mr bridenstine message twitter emphasizing nasa renewed focus lunar exploration technology originally slated resource prospector forward expanded lunar campaign wrote science exploration prospectors commercial partners statement nasa spokeswoman plans series progressive robotic missions lunar envisioning increasingly larger spacecraft leading eventual human capability elon musk space exploration technologies corp origin llc space transportation startup founded run amazon ceo bezos companies maneuvering benefit trend scores smaller firms participate nasa eventually redirects billions tax dollars appropriated support operations international space station carved fiscal calls term sustained commercial presence orbits earth wedge funding advanced lunar anticipated dramatically space station retired possibly industry officials experts advising nasa trump administration leveraging commercial investment cost effective nasa historic approach exploration essential bring private public partnership models demanded sercel commercial space advocate runs startup works nasa internal talking points distributed nasa highlighted agency officials industry players support nasa promote commercial activities wake space station anticipated retirement gerstenmaier heads nasa human exploration projects sketched planned evolution technology industry conference earlier initially commercially built robotic scientific instruments lunar risks versions steps mr gerstenmaier move human size derivatives carrying deploy fully reusable cargo,-1.0
12,66799,reuters top stories selected newspapers reuters verified stories vouch accuracy globe mail construction giant aecon group prevented working gordie international connecting acquired owned firm communications construction seeking ottawa approval takeover tgam ca gzlshc facebook users people globe personal information improperly shared uk based political consulting firm analytica social media giant tgam ca guqbha imperial bank commerce filed paperwork list caribbean banking subsidiary states markets signaling pull region proven challenging tgam ca gxbh national based oil company conocophillips announced sold multiple packages permian basin bought acres montney play colombia bit guxtx outstanding obstacles ongoing nafta negotiations including dairy supply management system ambassador confident modernized version agreement reached bit gycwng compiled bengaluru newsroom,-1.0
13,137093,nafta talks clouded aluminum tariffs plan pm ist latest round talks revamp trade agreement ended joint statement states aleksandra michalska reports hide transcript view transcript latest round talks revamp trade agreement ended joint statement states aleksandra michalska reports press ctrl windows cmd press url mobile device copy code reut rs oqnlxk,-1.0
14,170359,reuters top executives gun maker outdoor brands corp defended safety efforts letter asset manager blackrock posted website maker guns blackrock logo offices reuters mcdermid outdoor brands gun makers pressure investors including blackrock response school massacre parkland killed people letter outdoor brands chairman chief executive officer public safety priorities enforce existing improve background checks address mental health challenges solution politically motivated action adverse impact company employees industry shareholders economies support significantly rights abiding customers results increase public safety stated letter signed company chairman monheit ceo debney blackrock world largest asset manager press gun makers weapons retailers portfolios explain monitor firearms studying creation index based portfolios exclude gun makers retailers blackrock spokesman mail firm continue engage firearms makers understand business policies practices order protect clients investments companies financial firms reviewing ties weapons industry national rifle association wake shooting amid calls groups investors divest altogether letter outdoor brands accompanying company memo amount industry detailed defenses practices guide debate specific investors seek outdoor distributors face restrictions firearms works closely enforcement agencies trace guns crimes important respect national debate underway firearms safety monheit debney wrote company investors understand risks poses stockholders aware products manufacture fully understand risks investing firearms manufacturer memo states outdoor brands opposed gun systems opposes legislation require technology proven safe reliable reporting kerber editing,-1.0
15,49454,brentwood tenn globe newswire tractor supply company nasdaq tsco largest rural lifestyle retail store chain states intends release full results market closes conjunction release company hold conference ct hosted sandfort chief executive officer barbarick president chief merchandising officer chief financial officer webcast live ir tractorsupply extra time visit site download streaming media software required listen webcast replay webcast ir tractorsupply shortly conference concludes tractor supply company founded tractor supply company largest rural lifestyle retail store chain states tractor supply stores focused supplying lifestyle recreational farmers ranchers enjoy rural lifestyle tradesmen businesses stores located primarily outlying metropolitan markets rural communities company offers comprehensive selection merchandise equine livestock pet animal products including items health care growth containment hardware truck towing tool products seasonal products including heating lawn garden items equipment gifts toys work recreational clothing footwear maintenance products agricultural rural company operated tractor supply stores states commerce website tractorsupply tractor supply company owns operates petsense pet specialty supply retailer focused meeting pet owners primarily mid size communities offering variety pet products services company operated petsense stores states information petsense visit petsense tractor supply company investor contacts media contacts pulman icr source tractor supply company,0.0
16,244758,istar nyse announced joined firm chief investment officer mr member senior executive team responsible overseeing originations driving growth company diversified investment portfolio report sugarman chairman ceo brings significant estate investment experience valuable leadership perspective company continue focus creative approach market mr sugarman play central role helping company identify opportunities business career mr closed investments parts capital structure previously acquisitions business operations cadre technology enabled estate investment platform managing director starwood capital starwood capital mr served president global estate group started career cmbs group mr holds ba dartmouth college tremendous amount respect admiration istar business sitting table multiple occasions mr proud join seasoned team firmly positioned capitalize company foundation potential explosive growth istar nyse finances invests develops estate estate related projects part fully integrated investment platform building decades experience transactions istar brings uncommon capabilities ways thinking commercial estate adapts investment strategy changing market conditions company structured estate investment trust reit diversified portfolio focused larger assets located metropolitan markets additional information istar website istar view original content multimedia news releases istar names chief investment officer html source istar,1.0
17,19812,points record led boeing averages rebounded losses posted previous session air lines homebuilder kb home posted expected profits earnings expected grown percent capital iq hours ago industrial average time investors bet economic growth pick steam index points record boeing biggest contributor gains boeing companies stands benefit economic growth ratches nasdaq composite hit record rising percent shares gained percent gained percent finish reached time energy surging rising oil prices symbol nasdaq averages rebounded losses posted previous session nasdaq snapped winning streak investors fretted possibility halting treasury purchases pulling nafta ve struggled meaningful pullback kapyrin director research regentatlantic kapyrin optimism global synchronous economic recovery upcoming earnings getty images trader working floor exchange air lines reported adjusted earnings surpassed analyst expectations sending company percent higher homebuilder kb home posted expected profit percent blackrock fargo scheduled report earnings expected grown percent capital iq analyst investors clues recent tax code impact company president trump signed slashed corporate tax rate percent percent static basis joint committee taxation expects rate reduction corporate tax yardeni president chief investment strategist yardeni research note nice chunk change complete picture tax rate companies pay higher depending tax adjustments yardeni economic news producer prices time treasury yields pared gains data release yield remained highest levels,1.0
18,27048,princeton business wire nrg energy nyse nrg plans report full financial results management present results conference webcast eastern live webcast conference including presentation materials accessed nrg website nrg clicking webcasts presentations investors section bottom home webcast archived site unable listen time nrg announces analyst morning additional details posted company website nrg investors section nrg nrg leading integrated company built strength diverse competitive electric generation portfolio leading retail electricity platform company nrg creates class operations reliable efficient electric generation retail platform serving residential commercial businesses working electricity customers implement sustainable solutions producing managing energy developing smarter energy choices delivering exceptional service retail electricity providers serve residential commercial customers information nrg connect nrg energy facebook follow twitter nrgenergy view source version news home nrg energy media marijke shugrue investors cfa puchyr source nrg energy,0.0
